Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	4	1	1461	12	31	1983	2649	0.1	10294.77	10582.20	96	82.9	1935.5	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	566.8
OliveGIS	30set19	17:41:13	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	5	1	1826	12	30	1984	2620	0.0	8764.14	9049.28	113	101.0	2450.6	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	421.7
OliveGIS	30set19	17:41:13	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	6	1	2192	12	31	1985	2626	1.0	8888.12	9173.52	105	100.9	1942.2	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	490.3
OliveGIS	30set19	17:41:13	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	7	1	2557	12	31	1986	2639	0.0	7715.70	7830.23	123	112.5	2184.5	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	426.8
OliveGIS	30set19	17:41:13	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	8	1	2922	12	31	1987	2626	0.0	9440.74	9566.76	103	78.0	1830.9	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	746.4
OliveGIS	30set19	17:41:13	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	9	1	3287	12	30	1988	2627	0.0	8042.17	8546.91	107	77.7	2165.3	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	528.0
OliveGIS	30set19	17:41:13	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	10	1	3653	12	31	1989	2645	0.0	7332.28	7667.79	105	50.5	1883.0	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	971.7
OliveGIS	30set19	17:41:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	11	1	4018	12	31	1990	2630	0.0	7219.59	7478.59	98	82.2	1885.3	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	403.2
OliveGIS	30set19	17:41:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	12	1	4383	12	31	1991	2649	0.0	7588.47	8247.89	118	106.9	1966.1	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	451.9
OliveGIS	30set19	17:41:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	13	1	4748	12	30	1992	2634	0.0	8461.38	8851.92	104	90.3	1796.9	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	373.4
OliveGIS	30set19	17:41:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	14	1	5114	12	31	1993	2639	0.0	8861.37	9177.07	103	98.0	2384.2	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	518.1
OliveGIS	30set19	17:41:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	15	1	5479	12	31	1994	2643	0.2	8785.99	9005.88	101	89.5	2017.4	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	394.0
OliveGIS	30set19	17:41:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	16	1	5844	12	31	1995	2638	0.0	8793.85	9107.70	93	61.2	1547.5	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	584.2
OliveGIS	30set19	17:41:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	17	1	6209	12	30	1996	2670	0.0	8182.86	8485.60	110	63.7	2185.9	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	964.5
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	18	1	6575	12	31	1997	2636	0.0	8925.34	9125.31	87	35.5	1609.5	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	760.0
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	19	1	6940	12	31	1998	2651	0.0	8179.48	8557.29	91	72.2	1922.9	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	338.5
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	20	1	7305	12	31	1999	2639	0.0	9342.15	9551.15	99	104.8	1859.8	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	476.9
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	21	1	7670	12	30	2000	2633	0.0	7669.81	7871.11	92	84.3	2009.0	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	647.9
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	22	1	8036	12	31	2001	2652	0.0	8796.69	9006.02	98	74.5	2123.6	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	623.6
